County_Code,County_Name,Year,Deaths,Population
01001,"Autauga County, AL",1971,229,25520
01003,"Baldwin County, AL",1971,600,60298
01005,"Barbour County, AL",1971,297,23150
01007,"Bibb County, AL",1971,180,13921
01009,"Blount County, AL",1971,256,27809
01011,"Bullock County, AL",1971,157,11491
01013,"Butler County, AL",1971,257,21883
01015,"Calhoun County, AL",1971,869,103724
01017,"Chambers County, AL",1971,378,36356
01019,"Cherokee County, AL",1971,185,16525
01021,"Chilton County, AL",1971,320,25637
01023,"Choctaw County, AL",1971,173,16545
01025,"Clarke County, AL",1971,278,26001
01027,"Clay County, AL",1971,145,12948
01029,"Cleburne County, AL",1971,92,11118
01031,"Coffee County, AL",1971,334,36636
01033,"Colbert County, AL",1971,485,50449
01035,"Conecuh County, AL",1971,213,15778
01037,"Coosa County, AL",1971,103,10708
01039,"Covington County, AL",1971,463,34688
01041,"Crenshaw County, AL",1971,166,13389
01043,"Cullman County, AL",1971,495,54414
01045,"Dale County, AL",1971,305,54969
01047,"Dallas County, AL",1971,560,56206
01049,"DeKalb County, AL",1971,438,43642
01051,"Elmore County, AL",1971,352,33917
01053,"Escambia County, AL",1971,363,35345
01055,"Etowah County, AL",1971,987,95106
01057,"Fayette County, AL",1971,146,16081
01059,"Franklin County, AL",1971,269,24673
01061,"Geneva County, AL",1971,255,22217
01063,"Greene County, AL",1971,124,10337
01065,"Hale County, AL",1971,203,15655
01067,"Henry County, AL",1971,184,13461
01069,"Houston County, AL",1971,568,58730
01071,"Jackson County, AL",1971,390,40727
01073,"Jefferson County, AL",1971,6574,650337
01075,"Lamar County, AL",1971,170,14731
01077,"Lauderdale County, AL",1971,627,70174
01079,"Lawrence County, AL",1971,231,27406
01081,"Lee County, AL",1971,441,61963
01083,"Limestone County, AL",1971,368,41927
01085,"Lowndes County, AL",1971,128,13283
01087,"Macon County, AL",1971,295,25354
01089,"Madison County, AL",1971,1082,188563
01091,"Marengo County, AL",1971,289,23499
01093,"Marion County, AL",1971,256,25466
01095,"Marshall County, AL",1971,554,55948
01097,"Mobile County, AL",1971,2862,323788
01099,"Monroe County, AL",1971,239,21116
01101,"Montgomery County, AL",1971,1734,170246
01103,"Morgan County, AL",1971,655,80309
01105,"Perry County, AL",1971,190,15382
01107,"Pickens County, AL",1971,225,20375
01109,"Pike County, AL",1971,290,25233
01111,"Randolph County, AL",1971,174,18657
01113,"Russell County, AL",1971,519,45774
01115,"St. Clair County, AL",1971,308,29593
01117,"Shelby County, AL",1971,334,40185
01119,"Sumter County, AL",1971,181,15926
01121,"Talladega County, AL",1971,672,64971
01123,"Tallapoosa County, AL",1971,405,33903
01125,"Tuscaloosa County, AL",1971,941,119866
01127,"Walker County, AL",1971,681,58878
01129,"Washington County, AL",1971,167,16400
01131,"Wilcox County, AL",1971,171,16229
01133,"Winston County, AL",1971,195,17783
02900,"Entire State, AK",1971,1474,317012
04001,"Apache County, AZ",1971,305,35916
04003,"Cochise County, AZ",1971,474,67405
04005,"Coconino County, AZ",1971,303,53663
04007,"Gila County, AZ",1971,328,31045
04009,"Graham County, AZ",1971,150,17479
04011,"Greenlee County, AZ",1971,74,11230
04013,"Maricopa County, AZ",1971,8219,1028204
04015,"Mohave County, AZ",1971,287,28713
04017,"Navajo County, AZ",1971,398,51386
04019,"Pima County, AZ",1971,3263,381073
04021,"Pinal County, AZ",1971,618,73940
04023,"Santa Cruz County, AZ",1971,99,14829
04025,"Yavapai County, AZ",1971,579,40410
04027,"Yuma County, AZ",1971,572,65168
05001,"Arkansas County, AR",1971,268,23351
05003,"Ashley County, AR",1971,265,25469
05005,"Baxter County, AR",1971,255,16588
05007,"Benton County, AR",1971,620,53565
05009,"Boone County, AR",1971,219,19266
05011,"Bradley County, AR",1971,180,13077
05013,"Calhoun County, AR",1971,75,5525
05015,"Carroll County, AR",1971,163,12568
05017,"Chicot County, AR",1971,240,17763
05019,"Clark County, AR",1971,237,21937
05021,"Clay County, AR",1971,298,19691
05023,"Cleburne County, AR",1971,146,11086
05025,"Cleveland County, AR",1971,69,6404
05027,"Columbia County, AR",1971,313,26874
05029,"Conway County, AR",1971,168,17006
05031,"Craighead County, AR",1971,470,55337
05033,"Crawford County, AR",1971,273,27230
05035,"Crittenden County, AR",1971,451,47251
05037,"Cross County, AR",1971,209,19908
05039,"Dallas County, AR",1971,155,10412
05041,"Desha County, AR",1971,205,18861
05043,"Drew County, AR",1971,166,15082
05045,"Faulkner County, AR",1971,297,33466
05047,"Franklin County, AR",1971,137,11416
05049,"Fulton County, AR",1971,116,8523
05051,"Garland County, AR",1971,838,57347
05053,"Grant County, AR",1971,101,10312
05055,"Greene County, AR",1971,279,26024
05057,"Hempstead County, AR",1971,271,19940
05059,"Hot Spring County, AR",1971,222,22369
05061,"Howard County, AR",1971,154,12010
05063,"Independence County, AR",1971,279,23722
05065,"Izard County, AR",1971,120,7904
05067,"Jackson County, AR",1971,228,21495
05069,"Jefferson County, AR",1971,802,84602
05071,"Johnson County, AR",1971,179,14119
05073,"Lafayette County, AR",1971,115,10006
05075,"Lawrence County, AR",1971,182,16809
05077,"Lee County, AR",1971,191,17953
05079,"Lincoln County, AR",1971,97,12806
05081,"Little River County, AR",1971,129,12135
05083,"Logan County, AR",1971,198,17195
05085,"Lonoke County, AR",1971,292,26487
05087,"Madison County, AR",1971,119,9507
05089,"Marion County, AR",1971,91,7536
05091,"Miller County, AR",1971,392,34607
05093,"Mississippi County, AR",1971,589,61741
05095,"Monroe County, AR",1971,189,15055
05097,"Montgomery County, AR",1971,64,5697
05099,"Nevada County, AR",1971,147,10225
05101,"Newton County, AR",1971,49,5992
05103,"Ouachita County, AR",1971,348,30309
05105,"Perry County, AR",1971,64,5942
05107,"Phillips County, AR",1971,433,39146
05109,"Pike County, AR",1971,118,9304
05111,"Poinsett County, AR",1971,256,27266
05113,"Polk County, AR",1971,207,14288
05115,"Pope County, AR",1971,283,30616
05117,"Prairie County, AR",1971,127,10605
05119,"Pulaski County, AR",1971,2685,295971
05121,"Randolph County, AR",1971,144,12995
05123,"St. Francis County, AR",1971,271,30218
05125,"Saline County, AR",1971,281,39454
05127,"Scott County, AR",1971,86,8918
05129,"Searcy County, AR",1971,94,8098
05131,"Sebastian County, AR",1971,790,81987
05133,"Sevier County, AR",1971,158,11795
05135,"Sharp County, AR",1971,114,8907
05137,"Stone County, AR",1971,79,7157
05139,"Union County, AR",1971,513,44936
05141,"Van Buren County, AR",1971,104,8760
05143,"Washington County, AR",1971,624,79722
05145,"White County, AR",1971,428,41721
05147,"Woodruff County, AR",1971,156,10741
05149,"Yell County, AR",1971,169,14989
06001,"Alameda County, CA",1971,9298,1084676
06003,"Alpine County, CA",1971,2,578
06005,"Amador County, CA",1971,119,12541
06007,"Butte County, CA",1971,1216,105968
06009,"Calaveras County, CA",1971,173,13899
06011,"Colusa County, CA",1971,144,12359
06013,"Contra Costa County, CA",1971,3830,562342
06015,"Del Norte County, CA",1971,172,15031
06017,"El Dorado County, CA",1971,397,46064
06019,"Fresno County, CA",1971,3589,425287
06021,"Glenn County, CA",1971,194,17421
06023,"Humboldt County, CA",1971,896,100202
06025,"Imperial County, CA",1971,575,75085
06027,"Inyo County, CA",1971,184,15810
06029,"Kern County, CA",1971,2768,336514
06031,"Kings County, CA",1971,517,66579
06033,"Lake County, CA",1971,370,20960
06035,"Lassen County, CA",1971,157,17276
06037,"Los Angeles County, CA",1971,62851,7103445
06039,"Madera County, CA",1971,445,42853
06041,"Marin County, CA",1971,1450,206928
06043,"Mariposa County, CA",1971,81,6649
06045,"Mendocino County, CA",1971,568,52145
06047,"Merced County, CA",1971,778,108271
06049,"Modoc County, CA",1971,99,7727
06051,"Mono County, CA",1971,25,4516
06053,"Monterey County, CA",1971,1718,253337
06055,"Napa County, CA",1971,811,81717
06057,"Nevada County, CA",1971,363,27395
06059,"Orange County, CA",1971,9087,1483225
06061,"Placer County, CA",1971,701,80815
06063,"Plumas County, CA",1971,153,12137
06065,"Riverside County, CA",1971,4802,477643
06067,"Sacramento County, CA",1971,5020,653707
06069,"San Benito County, CA",1971,147,18706
06071,"San Bernardino County, CA",1971,5847,693731
06073,"San Diego County, CA",1971,10331,1392623
06075,"San Francisco County, CA",1971,8942,710085
06077,"San Joaquin County, CA",1971,2833,296199
06079,"San Luis Obispo County, CA",1971,1099,109347
06081,"San Mateo County, CA",1971,4012,555679
06083,"Santa Barbara County, CA",1971,1974,269831
06085,"Santa Clara County, CA",1971,6158,1098718
06087,"Santa Cruz County, CA",1971,1539,129977
06089,"Shasta County, CA",1971,730,79503
06091,"Sierra County, CA",1971,29,2460
06093,"Siskiyou County, CA",1971,336,33394
06095,"Solano County, CA",1971,1289,178874
06097,"Sonoma County, CA",1971,2161,212487
06099,"Stanislaus County, CA",1971,1980,199835
06101,"Sutter County, CA",1971,372,43067
06103,"Tehama County, CA",1971,287,30078
06105,"Trinity County, CA",1971,73,7954
06107,"Tulare County, CA",1971,1830,194371
06109,"Tuolumne County, CA",1971,258,23070
06111,"Ventura County, CA",1971,2440,395307
06113,"Yolo County, CA",1971,704,95211
06115,"Yuba County, CA",1971,398,45405
08001,"Adams County, CO",1971,873,193548
08003,"Alamosa County, CO",1971,85,11825
08005,"Arapahoe County, CO",1971,910,171018
08007,"Archuleta County, CO",1971,18,2504
08009,"Baca County, CO",1971,66,5630
08011,"Bent County, CO",1971,77,6533
08013,"Boulder County, CO",1971,800,140654
08015,"Chaffee County, CO",1971,110,10824
08017,"Cheyenne County, CO",1971,35,2424
08019,"Clear Creek County, CO",1971,43,5716
08021,"Conejos County, CO",1971,67,7820
08023,"Costilla County, CO",1971,40,3078
08025,"Crowley County, CO",1971,30,3129
08027,"Custer County, CO",1971,16,1190
08029,"Delta County, CO",1971,210,15426
08031,"Denver County, CO",1971,5326,526481
08033,"Dolores County, CO",1971,13,1593
08035,"Douglas County, CO",1971,67,9411
08037,"Eagle County, CO",1971,51,8535
08039,"Elbert County, CO",1971,35,3987
08041,"El Paso County, CO",1971,1490,251252
08043,"Fremont County, CO",1971,343,22991
08045,"Garfield County, CO",1971,157,15790
08047,"Gilpin County, CO",1971,15,1414
08049,"Grand County, CO",1971,35,4797
08051,"Gunnison County, CO",1971,47,8360
08053,"Hinsdale County, CO",1971,4,207
08055,"Huerfano County, CO",1971,86,6323
08057,"Jackson County, CO",1971,24,2012
08059,"Jefferson County, CO",1971,1361,248874
08061,"Kiowa County, CO",1971,18,2028
08063,"Kit Carson County, CO",1971,71,7844
08065,"Lake County, CO",1971,33,8523
08067,"La Plata County, CO",1971,171,20180
08069,"Larimer County, CO",1971,724,97093
08071,"Las Animas County, CO",1971,233,16202
08073,"Lincoln County, CO",1971,61,5007
08075,"Logan County, CO",1971,163,19173
08077,"Mesa County, CO",1971,601,55429
08079,"Mineral County, CO",1971,6,832
08081,"Moffat County, CO",1971,55,6479
08083,"Montezuma County, CO",1971,108,13591
08085,"Montrose County, CO",1971,173,18487
08087,"Morgan County, CO",1971,196,21084
08089,"Otero County, CO",1971,251,23179
08091,"Ouray County, CO",1971,12,1529
08093,"Park County, CO",1971,23,2325
08095,"Phillips County, CO",1971,48,3951
08097,"Pitkin County, CO",1971,29,7039
08099,"Prowers County, CO",1971,145,13467
08101,"Pueblo County, CO",1971,1120,120895
08103,"Rio Blanco County, CO",1971,36,4865
08105,"Rio Grande County, CO",1971,120,10365
08107,"Routt County, CO",1971,67,7401
08109,"Saguache County, CO",1971,33,3906
08111,"San Juan County, CO",1971,10,798
08113,"San Miguel County, CO",1971,18,2052
08115,"Sedgwick County, CO",1971,52,3451
08117,"Summit County, CO",1971,13,3353
08119,"Teller County, CO",1971,36,3737
08121,"Washington County, CO",1971,44,5452
08123,"Weld County, CO",1971,671,93772
08125,"Yuma County, CO",1971,112,8399
09001,"Fairfield County, CT",1971,6672,791631
09003,"Hartford County, CT",1971,6840,823207
09005,"Litchfield County, CT",1971,1383,144740
09007,"Middlesex County, CT",1971,940,116950
09009,"New Haven County, CT",1971,6979,756115
09011,"New London County, CT",1971,1961,233693
09013,"Tolland County, CT",1971,547,105326
09015,"Windham County, CT",1971,817,85898
10001,"Kent County, DE",1971,664,86784
10003,"New Castle County, DE",1971,3263,394602
