State_Code,State_Name,Year,Deaths,Population
01,Alabama,1976,34193,3737368
02,Alaska,1976,1623,393479
04,Arizona,1976,17339,2349986
05,Arkansas,1976,21336,2169513
06,California,1976,171022,21964973
08,Colorado,1976,17999,2634229
09,Connecticut,1976,26128,3083472
10,Delaware,1976,4781,592492
11,District of Columbia,1976,7312,697977
12,Florida,1976,89673,8691113
13,Georgia,1976,41661,5123790
15,Hawaii,1976,4420,903966
16,Idaho,1976,6635,858825
17,Illinois,1976,103665,11365790
18,Indiana,1976,46778,5370062
19,Iowa,1976,27859,2903695
20,Kansas,1976,21848,2301610
21,Kentucky,1976,32305,3531722
22,Louisiana,1976,34581,3956566
23,Maine,1976,10457,1089227
24,Maryland,1976,32644,4169157
25,Massachusetts,1976,54049,5743282
26,Michigan,1976,75862,9111274
27,Minnesota,1976,32796,3955847
28,Mississippi,1976,23168,2431473
29,Missouri,1976,49075,4824689
30,Montana,1976,6741,759468
31,Nebraska,1976,14547,1549724
32,Nevada,1976,4578,647234
33,New Hampshire,1976,7417,846159
34,New Jersey,1976,65382,7339629
35,New Mexico,1976,8224,1196730
36,New York,1976,172554,17975450
37,North Carolina,1976,45832,5592125
38,North Dakota,1976,5516,646184
39,Ohio,1976,96159,10750198
40,Oklahoma,1976,27129,2825313
41,Oregon,1976,20486,2373590
42,Pennsylvania,1976,121095,11883050
44,Rhode Island,1976,9200,949169
45,South Carolina,1976,23680,2942442
46,South Dakota,1976,6742,687878
47,Tennessee,1976,38970,4329037
48,Texas,1976,100760,12914151
49,Utah,1976,7482,1278329
50,Vermont,1976,4269,484840
51,Virginia,1976,40133,5131164
53,Washington,1976,30327,3692514
54,West Virginia,1976,19690,1878179
55,Wisconsin,1976,40158,4583864
56,Wyoming,1976,3160,396140
US,US,1976,1909440,217608138
